"tjedan","n_infl","doseg_infl","doseg_hnb","pi","d_pi","neg","hhi","euro","ocekivanja"
2021-09-13,1028,3355,2210,3.23,0.33,0.273,0.05845,0,21.62
2021-09-20,1098,3076,2970,3.6,0.37,0.3388,0.06624,0,20.14
2021-09-27,1029,2623,3083,3.37,-0.23,0.2537,0.06692,0,20.71
2021-10-04,1103,2891,2952,3.72,0.35,0.3765,0.0607,0,23.97
2021-10-11,962,2791,2596,3.23,-0.49,0.2731,0.06497,0,21.91
2021-10-18,1152,2586,2628,3.67,0.44,0.3099,0.06742,0,22.92
2021-10-25,1159,2308,2575,3.99,0.32,0.3003,0.0636,0,21.78
2021-11-01,1087,3148,3044,3.88,-0.11,0.3416,0.05682,0,21.37
2021-11-08,1329,2972,3521,4.76,0.88,0.3151,0.06386,0,25.09
2021-11-15,1291,2590,2880,4.25,-0.51,0.3634,0.06308,0,28.17
2021-11-22,1397,2695,3635,4.61,0.36,0.2769,0.07069,0,29.85
2021-11-29,1527,2674,3008,5.38,0.77,0.3352,0.06834,0,33.1
2021-12-06,1599,2598,2487,5.66,0.28,0.4095,0.06777,0,33.13
2021-12-13,1647,3329,2038,6.07,0.41,0.3691,0.06878,0,38.65
2021-12-20,1667,2500,2996,6.02,-0.05,0.3998,0.06805,0,36.24
2021-12-27,1710,2545,2896,6.23,0.21,0.3561,0.06775,0,40.8
2022-01-03,1798,2529,2150,6.75,0.52,0.3902,0.06696,0,39.41
2022-01-10,2127,3233,3244,7.21,0.46,0.3094,0.06336,0,43.95
2022-01-17,2061,3397,2278,7.03,-0.18,0.3541,0.06302,0,45.67
2022-01-24,2119,2576,1892,7.27,0.24,0.3192,0.06981,0,47.77
2022-01-31,2390,2689,3047,8.05,0.78,0.452,0.06503,0,48.97
2022-02-07,2837,2026,3871,8.78,0.73,0.3873,0.06744,0,55.61
2022-02-14,2472,3019,3363,8.5,-0.28,0.4523,0.06407,0,52.45
2022-02-21,2968,2515,2345,9.16,0.66,0.4309,0.07198,0,58.42
2022-02-28,2767,2766,4509,8.72,-0.44,0.3635,0.06433,0,57.84
2022-03-07,2822,3231,2005,8.97,0.25,0.3576,0.07222,0,63.47
2022-03-14,3207,3135,3317,9.72,0.75,0.4051,0.06534,0,59.99
2022-03-21,3484,2578,2622,10.13,0.41,0.3921,0.06658,0,65.64
2022-03-28,3744,2395,2709,10.54,0.41,0.3537,0.07639,0,66.26
2022-04-04,3634,2908,2740,10.46,-0.08,0.433,0.06571,0,62.29
2022-04-11,3653,2556,2770,10.45,-0.01,0.354,0.07853,0,63.31
2022-04-18,3927,2450,3440,10.87,0.42,0.4635,0.07083,0,67.62
2022-04-25,3967,2057,2525,10.91,0.04,0.4286,0.07369,0,66.4
2022-05-02,3906,2665,2442,10.78,-0.13,0.3779,0.07294,0,69.39
2022-05-09,4131,2459,3133,11.23,0.45,0.4384,0.06421,0,69.73
2022-05-16,4280,2637,3558,11.11,-0.12,0.4096,0.07161,0,71.34
2022-05-23,3929,2370,2484,10.95,-0.16,0.4416,0.07654,0,69.31
2022-05-30,4079,2484,2918,11.15,0.2,0.3272,0.071,0,70.76
2022-06-06,4710,2534,2257,11.79,0.64,0.5362,0.07522,0,71
2022-06-13,4360,3916,2222,11.34,-0.45,0.3433,0.06387,0,72.6
2022-06-20,4184,2683,3242,11.23,-0.11,0.3942,0.07098,0,71.03
2022-06-27,3938,3126,2842,10.96,-0.27,0.363,0.07039,0,70.31
2022-07-04,4647,2648,2697,11.88,0.92,0.3464,0.06546,0,70.6
2022-07-11,5102,2863,2302,11.99,0.11,0.4315,0.07119,0,72.34
2022-07-18,4496,2647,2344,11.39,-0.6,0.4354,0.07801,0,68.93
2022-07-25,4475,2941,3569,11.69,0.3,0.403,0.07699,0,73.3
2022-08-01,4338,2682,2399,11.39,-0.3,0.3815,0.07573,0,72.65
2022-08-08,4125,2860,3018,10.98,-0.41,0.409,0.07586,0,72.24
2022-08-15,4605,2642,2675,11.5,0.52,0.3838,0.0713,0,74.39
2022-08-22,4118,3071,2637,11.33,-0.17,0.4018,0.07015,0,73.48
2022-08-29,4408,3091,2211,11.56,0.23,0.4526,0.0651,0,70.03
2022-09-05,4357,2808,3079,11.48,-0.08,0.5064,0.07785,0,75.84
2022-09-12,4212,2191,3089,11.49,0.01,0.4156,0.06923,0,71.23
2022-09-19,4688,2689,2964,12.02,0.53,0.3687,0.07053,0,72.83
2022-09-26,5119,3018,2656,11.93,-0.09,0.2908,0.06712,0,73.36
2022-10-03,4652,2837,2825,11.74,-0.19,0.3833,0.07157,0,75.04
2022-10-10,5055,2844,2595,12.25,0.51,0.4335,0.06746,0,73.73
2022-10-17,4425,3067,3138,11.7,-0.55,0.3361,0.06925,0,74.27
2022-10-24,5265,3032,3066,12.3,0.6,0.386,0.07089,0,73.53
2022-10-31,4595,2935,3417,11.8,-0.5,0.4066,0.06948,0,72.09
2022-11-07,5088,2466,2927,12.43,0.63,0.4019,0.07112,0,71.94
2022-11-14,5460,2925,2395,12.62,0.19,0.4439,0.06945,0,73.89
2022-11-21,4754,2969,3310,12.06,-0.56,0.4757,0.07393,0,75.2
2022-11-28,5377,2847,3189,12.49,0.43,0.3713,0.07617,0,76.65
2022-12-05,5710,2547,3333,12.85,0.36,0.3936,0.07197,0,77.59
2022-12-12,4869,3162,2676,12.14,-0.71,0.311,0.07634,0,73.85
2022-12-19,5436,2448,3461,12.62,0.48,0.4013,0.07773,0,73.15
2022-12-26,5303,2480,2438,12.32,-0.3,0.5253,0.06986,0,75.66
2023-01-02,5806,2385,3157,12.97,0.65,0.3698,0.0685,1,77.4
2023-01-09,5710,2220,3443,13.07,0.1,0.3234,0.07247,1,78
2023-01-16,5583,2926,2795,12.77,-0.3,0.3826,0.07268,1,78.38
2023-01-23,5806,2830,2231,12.91,0.14,0.3677,0.06951,1,76.22
2023-01-30,5540,3332,2676,12.8,-0.11,0.4126,0.06982,1,78.03
2023-02-06,6296,2099,3018,13.22,0.42,0.4499,0.07542,1,74.36
2023-02-13,5453,3243,2641,12.7,-0.52,0.5221,0.07385,1,77.89
2023-02-20,5492,2343,2739,12.74,0.04,0.4139,0.07377,1,76.64
2023-02-27,6087,2783,2438,13.04,0.3,0.3432,0.0791,1,79.01
2023-03-06,5341,2610,2895,12.84,-0.2,0.4397,0.07817,1,75.66
2023-03-13,5215,3229,2721,12.16,-0.68,0.3904,0.07356,1,74.81
2023-03-20,5032,3374,3156,12.21,0.05,0.4295,0.074,1,72.33
2023-03-27,4726,3101,2951,12.01,-0.2,0.3864,0.07786,1,75.99
2023-04-03,4812,2350,2760,12.1,0.09,0.4223,0.07274,1,77.54
2023-04-10,4735,2381,3413,12.26,0.16,0.3536,0.07327,1,73.83
2023-04-17,4903,3429,2681,12.05,-0.21,0.4168,0.06822,1,75.39
2023-04-24,4285,2194,2436,11.49,-0.56,0.3987,0.07313,1,75.53
2023-05-01,3964,2331,2865,10.8,-0.69,0.4172,0.06652,1,73.59
2023-05-08,3684,3202,2971,10.51,-0.29,0.414,0.07501,1,70
2023-05-15,3648,3235,3082,10.52,0.01,0.3883,0.06959,1,70.22
2023-05-22,3223,2384,2786,9.73,-0.79,0.3351,0.07004,1,69.83
2023-05-29,3170,2228,2586,9.64,-0.09,0.3733,0.07117,1,67.68
2023-06-05,2772,2565,3026,8.95,-0.69,0.4037,0.07529,1,68.13
2023-06-12,2993,2909,3177,9.19,0.24,0.4438,0.06329,1,68.96
2023-06-19,2525,2769,3389,8.27,-0.92,0.2363,0.07031,1,62.89
2023-06-26,2612,2543,2394,8.57,0.3,0.3777,0.06884,1,66.77
2023-07-03,2539,3031,2911,8.61,0.04,0.3698,0.06724,1,65.5
2023-07-10,2568,2584,2252,8.38,-0.23,0.3908,0.06531,1,61.58
2023-07-17,2338,2465,2712,7.87,-0.51,0.3867,0.06588,1,59.3
2023-07-24,1993,2854,3462,7.16,-0.71,0.3427,0.05921,1,58.92
2023-07-31,1903,3147,2913,6.83,-0.33,0.3745,0.06558,1,56.34
2023-08-07,1747,2170,2923,6.41,-0.42,0.4552,0.066,1,56.5
2023-08-14,1722,3287,2539,6.29,-0.12,0.3663,0.07273,1,51.22
2023-08-21,1800,2650,2520,6.34,0.05,0.3185,0.06536,1,50.22
2023-08-28,1509,2902,3053,5.63,-0.71,0.3602,0.06642,1,47.53
2023-09-04,1625,2819,2743,5.65,0.02,0.2712,0.0695,1,50.03
2023-09-11,1288,3347,2805,4.97,-0.68,0.3291,0.06848,1,50.26
2023-09-18,1382,2992,2696,5.13,0.16,0.3369,0.06024,1,44.16
2023-09-25,1384,2796,2741,4.96,-0.17,0.2505,0.06325,1,46.59
2023-10-02,1332,2870,2983,4.99,0.03,0.302,0.06637,1,46.02
2023-10-09,1233,2602,3348,4.35,-0.64,0.301,0.06581,1,41.01
2023-10-16,1278,2844,2485,4.29,-0.06,0.2744,0.06651,1,38.56
2023-10-23,1203,3049,2441,4.26,-0.03,0.3519,0.06735,1,39.45
2023-10-30,1200,2918,2726,4.32,0.06,0.3573,0.06775,1,36.48
2023-11-06,1172,2605,2264,4.21,-0.11,0.3482,0.06713,1,36.65
2023-11-13,1167,2982,3065,3.92,-0.29,0.2194,0.05914,1,33.41
2023-11-20,1146,2710,2190,4.02,0.1,0.3049,0.06803,1,34.94
2023-11-27,1134,2470,2875,3.91,-0.11,0.3646,0.0625,1,34.41
2023-12-04,1091,2725,3419,3.73,-0.18,0.3214,0.06682,1,30.57
2023-12-11,1118,2935,2629,3.58,-0.15,0.4448,0.0701,1,28.15
2023-12-18,1138,2178,2311,3.89,0.31,0.32,0.06607,1,29.57
2023-12-25,1129,2907,2406,3.62,-0.27,0.282,0.06258,1,25.43
2024-01-01,1142,2344,2122,3.96,0.34,0.2518,0.05963,1,25.94
