"geo","god","inflacija"
"EL",2016,0
"EL",2017,1.1
"EL",2018,0.8
"EL",2019,0.5
"EL",2020,-1.3
"EL",2021,0.6
"EL",2022,9.3
"EL",2023,4.2
"EL",2024,3
"ES",2014,-0.2
"ES",2015,-0.6
"ES",2016,-0.3
"ES",2017,2
"ES",2018,1.7
"ES",2019,0.8
"ES",2020,-0.3
"ES",2021,3
"ES",2022,8.3
"ES",2023,3.4
"ES",2024,2.9
"EU",2014,0.6
"EU",2015,0.1
"EU",2016,0.2
"EU",2017,1.7
"EU",2018,1.9
"EU",2019,1.5
"EU",2020,0.7
"EU",2021,2.9
"EU",2022,9.2
"EU",2023,6.4
"EU",2024,2.6
"EU27_2020",2014,0.4
"EU27_2020",2015,0.1
"EU27_2020",2016,0.2
"EU27_2020",2017,1.6
"EU27_2020",2018,1.8
"EU27_2020",2019,1.4
"EU27_2020",2020,0.7
"EU27_2020",2021,2.9
"EU27_2020",2022,9.2
"EU27_2020",2023,6.4
"EU27_2020",2024,2.6
"EU28",2014,0.6
"EU28",2015,0.1
"EU28",2016,0.2
"EU28",2017,1.7
"EU28",2018,1.9
"EU28",2019,1.5
"FI",2014,1.2
"FI",2015,-0.2
"FI",2016,0.4
"FI",2017,0.8
"FI",2018,1.2
"FI",2019,1.1
"FI",2020,0.4
"FI",2021,2.1
"FI",2022,7.2
"FI",2023,4.3
"FI",2024,1
"FR",2014,0.6
"FR",2015,0.1
"FR",2016,0.3
"FR",2017,1.2
"FR",2018,2.1
"FR",2019,1.3
"FR",2020,0.5
"FR",2021,2.1
"FR",2022,5.9
"FR",2023,5.7
"FR",2024,2.3
"HR",2014,0.2
"HR",2015,-0.3
"HR",2016,-0.6
"HR",2017,1.3
"HR",2018,1.6
"HR",2019,0.8
"HR",2020,0
"HR",2021,2.7
"HR",2022,10.7
"HR",2023,8.4
"HR",2024,4
"HU",2014,0
"HU",2015,0.1
"HU",2016,0.4
"HU",2017,2.4
"HU",2018,2.9
"HU",2019,3.4
"HU",2020,3.4
"HU",2021,5.2
"HU",2022,15.3
"HU",2023,17
"HU",2024,3.7
"IE",2014,0.3
"IE",2015,0
"IE",2016,-0.2
"IE",2017,0.3
"IE",2018,0.7
"IE",2019,0.9
"IE",2020,-0.5
"IE",2021,2.4
"IE",2022,8.1
"IE",2023,5.2
"IE",2024,1.3
"IS",2014,1
"IS",2015,0.3
"IS",2016,0.8
"IS",2017,-1.7
"IS",2018,0.7
"IS",2019,2
"IS",2020,1.2
"IS",2021,3.7
"IS",2022,5.7
"IS",2023,8
"IS",2024,4.5
"IT",2014,0.2
"IT",2015,0.1
"IT",2016,-0.1
"IT",2017,1.3
"IT",2018,1.2
"IT",2019,0.6
"IT",2020,-0.1
"IT",2021,1.9
"IT",2022,8.7
"IT",2023,5.9
"IT",2024,1.1
"LT",2014,0.2
"LT",2015,-0.7
"LT",2016,0.7
"LT",2017,3.7
"LT",2018,2.5
"LT",2019,2.2
"LT",2020,1.1
"LT",2021,4.6
"LT",2022,18.9
"LT",2023,8.7
"LT",2024,0.9
"LU",2014,0.7
"LU",2015,0.1
"LU",2016,0
"LU",2017,2.1
"LU",2018,2
"LU",2019,1.6
"LU",2020,0
"LU",2021,3.5
"LU",2022,8.2
"LU",2023,2.9
"LU",2024,2.3
"LV",2014,0.7
"LV",2015,0.2
"LV",2016,0.1
"LV",2017,2.9
"LV",2018,2.6
"LV",2019,2.7
"LV",2020,0.1
"LV",2021,3.2
"LV",2022,17.2
"LV",2023,9.1
"LV",2024,1.3
"ME",2016,-0.1
"ME",2017,2.7
"ME",2018,2.6
"ME",2019,0.5
"ME",2020,-0.5
"ME",2021,2.5
"ME",2022,11.9
"ME",2023,8.7
"ME",2024,3.6
"MK",2014,0
"MK",2015,0.1
"MK",2016,0.2
"MK",2017,2.1
"MK",2018,2.3
"MK",2019,0.7
"MK",2020,1.2
"MK",2021,3.4
"MK",2022,14
"MK",2023,9
"MK",2024,4.2
"MT",2014,0.8
"MT",2015,1.2
"MT",2016,0.9
"MT",2017,1.3
"MT",2018,1.7
"MT",2019,1.5
"MT",2020,0.8
"MT",2021,0.7
"MT",2022,6.1
"MT",2023,5.6
"MT",2024,2.4
"NL",2014,0.3
"NL",2015,0.2
"NL",2016,0.1
"NL",2017,1.3
"NL",2018,1.6
"NL",2019,2.7
"NL",2020,1.1
"NL",2021,2.8
"NL",2022,11.6
"NL",2023,4.1
"NL",2024,3.2
"NO",2014,1.9
"NO",2015,2
"NO",2016,3.9
"NO",2017,1.9
"NO",2018,3
"NO",2019,2.3
"NO",2020,1.2
"NO",2021,3.9
"NO",2022,6.2
"NO",2023,5.8
"NO",2024,2.8
"PL",2014,0.1
"PL",2015,-0.7
"PL",2016,-0.2
"PL",2017,1.6
"PL",2018,1.2
"PL",2019,2.1
"PL",2020,3.7
"PL",2021,5.2
"PL",2022,13.2
"PL",2023,10.9
"PL",2024,3.7
"PT",2014,-0.2
"PT",2015,0.5
"PT",2016,0.6
"PT",2017,1.6
"PT",2018,1.2
"PT",2019,0.3
"PT",2020,-0.1
"PT",2021,0.9
"PT",2022,8.1
"PT",2023,5.3
"PT",2024,2.7
"RO",2014,1.4
"RO",2015,-0.4
"RO",2016,-1.1
"RO",2017,1.1
"RO",2018,4.1
"RO",2019,3.9
"RO",2020,2.3
"RO",2021,4.1
"RO",2022,12
"RO",2023,9.7
"RO",2024,5.8
"RS",2014,2.3
"RS",2015,1.5
"RS",2016,1.3
"RS",2017,3.3
"RS",2018,2
"RS",2019,1.9
"RS",2020,1.8
"RS",2021,4
"RS",2022,11.7
"RS",2023,12.1
"RS",2024,4.8
"SE",2014,0.2
"SE",2015,0.7
"SE",2016,1.1
"SE",2017,1.9
"SE",2018,2
"SE",2019,1.7
"SE",2020,0.7
"SE",2021,2.7
"SE",2022,8.1
"SE",2023,5.9
"SE",2024,2
"SI",2014,0.4
"SI",2015,-0.8
"SI",2016,-0.2
"SI",2017,1.6
"SI",2018,1.9
"SI",2019,1.7
"SI",2020,-0.3
"SI",2021,2
"SI",2022,9.3
"SI",2023,7.2
"SI",2024,2
"SK",2014,-0.1
"SK",2015,-0.3
"SK",2016,-0.5
"SK",2017,1.4
"SK",2018,2.5
"SK",2019,2.8
"SK",2020,2
"SK",2021,2.8
"SK",2022,12.1
"SK",2023,11
"SK",2024,3.2
"TR",2014,8.9
"TR",2015,7.7
"TR",2016,7.7
"TR",2017,11.1
"TR",2018,16.3
"TR",2019,15.2
"TR",2020,12.3
"TR",2021,19.6
"TR",2022,72.3
"TR",2023,54
"TR",2024,58.5
"UK",2014,1.5
"UK",2015,0
"UK",2016,0.7
"UK",2017,2.7
"UK",2018,2.5
"UK",2019,1.8
"US",2014,1.3
"US",2015,-0.8
"US",2016,0.6
"US",2017,1.8
"US",2018,2.2
"US",2019,1.4
"US",2020,0.8
"US",2021,5.3
"US",2022,8.7
"US",2023,3
"US",2024,2
"XK",2017,1.5
"XK",2018,1.1
"XK",2019,2.7
"XK",2020,0.2
"XK",2021,3.4
"XK",2022,11.6
"XK",2023,4.9
"XK",2024,1.6
