"geo","god","inflacija","nezaposlenost","zemlja","razdoblje"
"FR",2019,1.3,8.4,"Francuska","prije"
"FR",2020,0.5,8,"Francuska",NA
"FR",2021,2.1,7.9,"Francuska","poslije"
"FR",2022,5.9,7.3,"Francuska","poslije"
"FR",2023,5.7,7.3,"Francuska","poslije"
"FR",2024,2.3,7.4,"Francuska","poslije"
"HR",2014,0.2,17.3,"Hrvatska","prije"
"HR",2015,-0.3,16.2,"Hrvatska","prije"
"HR",2016,-0.6,13,"Hrvatska","prije"
"HR",2017,1.3,11.1,"Hrvatska","prije"
"HR",2018,1.6,8.3,"Hrvatska","prije"
"HR",2019,0.8,6.6,"Hrvatska","prije"
"HR",2020,0,7.4,"Hrvatska",NA
"HR",2021,2.7,7.5,"Hrvatska","poslije"
"HR",2022,10.7,6.8,"Hrvatska","poslije"
"HR",2023,8.4,6.1,"Hrvatska","poslije"
"HR",2024,4,5,"Hrvatska","poslije"
"IE",2014,0.3,11.9,"Irska","prije"
"IE",2015,0,9.9,"Irska","prije"
"IE",2016,-0.2,8.4,"Irska","prije"
"IE",2017,0.3,6.7,"Irska","prije"
"IE",2018,0.7,5.8,"Irska","prije"
"IE",2019,0.9,5,"Irska","prije"
"IE",2020,-0.5,5.9,"Irska",NA
"IE",2021,2.4,6.2,"Irska","poslije"
"IE",2022,8.1,4.5,"Irska","poslije"
"IE",2023,5.2,4.3,"Irska","poslije"
"IE",2024,1.3,4.3,"Irska","poslije"
"IT",2014,0.2,12.9,"Italija","prije"
"IT",2015,0.1,12,"Italija","prije"
"IT",2016,-0.1,11.7,"Italija","prije"
"IT",2017,1.3,11.3,"Italija","prije"
"IT",2018,1.2,10.6,"Italija","prije"
"IT",2019,0.6,9.9,"Italija","prije"
"IT",2020,-0.1,9.3,"Italija",NA
"IT",2021,1.9,9.5,"Italija","poslije"
"IT",2022,8.7,8.1,"Italija","poslije"
"IT",2023,5.9,7.7,"Italija","poslije"
"IT",2024,1.1,6.5,"Italija","poslije"
"LT",2014,0.2,10.7,"Litva","prije"
"LT",2015,-0.7,9.1,"Litva","prije"
"LT",2016,0.7,7.9,"Litva","prije"
"LT",2017,3.7,7.1,"Litva","prije"
"LT",2018,2.5,6.2,"Litva","prije"
"LT",2019,2.2,6.3,"Litva","prije"
"LT",2020,1.1,8.5,"Litva",NA
"LT",2021,4.6,7.1,"Litva","poslije"
"LT",2022,18.9,6,"Litva","poslije"
"LT",2023,8.7,6.9,"Litva","poslije"
"LT",2024,0.9,7.1,"Litva","poslije"
"LU",2014,0.7,5.9,"Luksemburg","prije"
"LU",2015,0.1,6.7,"Luksemburg","prije"
"LU",2016,0,6.3,"Luksemburg","prije"
"LU",2017,2.1,5.5,"Luksemburg","prije"
"LU",2018,2,5.6,"Luksemburg","prije"
"LU",2019,1.6,5.6,"Luksemburg","prije"
"LU",2020,0,6.8,"Luksemburg",NA
"LU",2021,3.5,5.3,"Luksemburg","poslije"
"LU",2022,8.2,4.6,"Luksemburg","poslije"
"LU",2023,2.9,5.2,"Luksemburg","poslije"
"LU",2024,2.3,6.4,"Luksemburg","poslije"
"LV",2014,0.7,10.9,"Latvija","prije"
"LV",2015,0.2,9.9,"Latvija","prije"
"LV",2016,0.1,9.7,"Latvija","prije"
"LV",2017,2.9,8.7,"Latvija","prije"
"LV",2018,2.6,7.4,"Latvija","prije"
"LV",2019,2.7,6.3,"Latvija","prije"
"LV",2020,0.1,8.1,"Latvija",NA
"LV",2021,3.2,7.6,"Latvija","poslije"
"LV",2022,17.2,6.9,"Latvija","poslije"
"LV",2023,9.1,6.5,"Latvija","poslije"
"LV",2024,1.3,6.9,"Latvija","poslije"
"MT",2014,0.8,5.7,"Malta","prije"
"MT",2015,1.2,5.4,"Malta","prije"
"MT",2016,0.9,4.7,"Malta","prije"
"MT",2017,1.3,4,"Malta","prije"
"MT",2018,1.7,4,"Malta","prije"
"MT",2019,1.5,4.1,"Malta","prije"
"MT",2020,0.8,4.9,"Malta",NA
"MT",2021,0.7,3.8,"Malta","poslije"
"MT",2022,6.1,3.5,"Malta","poslije"
"MT",2023,5.6,3.5,"Malta","poslije"
"MT",2024,2.4,3.2,"Malta","poslije"
"NL",2014,0.3,8.4,"Nizozemska","prije"
"NL",2015,0.2,7.9,"Nizozemska","prije"
"NL",2016,0.1,7,"Nizozemska","prije"
"NL",2017,1.3,5.9,"Nizozemska","prije"
"NL",2018,1.6,4.9,"Nizozemska","prije"
"NL",2019,2.7,4.4,"Nizozemska","prije"
"NL",2020,1.1,4.9,"Nizozemska",NA
"NL",2021,2.8,4.2,"Nizozemska","poslije"
"NL",2022,11.6,3.5,"Nizozemska","poslije"
"NL",2023,4.1,3.6,"Nizozemska","poslije"
"NL",2024,3.2,3.7,"Nizozemska","poslije"
"PT",2014,-0.2,14.6,"Portugal","prije"
"PT",2015,0.5,13,"Portugal","prije"
"PT",2016,0.6,11.5,"Portugal","prije"
"PT",2017,1.6,9.2,"Portugal","prije"
"PT",2018,1.2,7.2,"Portugal","prije"
"PT",2019,0.3,6.6,"Portugal","prije"
"PT",2020,-0.1,7.1,"Portugal",NA
"PT",2021,0.9,6.7,"Portugal","poslije"
"PT",2022,8.1,6.2,"Portugal","poslije"
"PT",2023,5.3,6.5,"Portugal","poslije"
"PT",2024,2.7,6.5,"Portugal","poslije"
"SI",2014,0.4,9.7,"Slovenija","prije"
"SI",2015,-0.8,9,"Slovenija","prije"
"SI",2016,-0.2,8,"Slovenija","prije"
"SI",2017,1.6,6.6,"Slovenija","prije"
"SI",2018,1.9,5.1,"Slovenija","prije"
"SI",2019,1.7,4.4,"Slovenija","prije"
"SI",2020,-0.3,5,"Slovenija",NA
"SI",2021,2,4.8,"Slovenija","poslije"
"SI",2022,9.3,4,"Slovenija","poslije"
"SI",2023,7.2,3.7,"Slovenija","poslije"
"SI",2024,2,3.7,"Slovenija","poslije"
"SK",2014,-0.1,13.1,"Slovačka","prije"
"SK",2015,-0.3,11.5,"Slovačka","prije"
"SK",2016,-0.5,9.6,"Slovačka","prije"
"SK",2017,1.4,8.1,"Slovačka","prije"
"SK",2018,2.5,6.5,"Slovačka","prije"
"SK",2019,2.8,5.7,"Slovačka","prije"
"SK",2020,2,6.7,"Slovačka",NA
"SK",2021,2.8,6.8,"Slovačka","poslije"
"SK",2022,12.1,6.1,"Slovačka","poslije"
"SK",2023,11,5.8,"Slovačka","poslije"
"SK",2024,3.2,5.3,"Slovačka","poslije"
